Model,Venue,Evaluated by,TotalScore↑,Aesthetics↑,Motion↑,FaceSim↑,GmeScore↑,NaturalScore↑
[Vidu2.0(20250503)](https://www.vidu.cn/),Closed-Source,OpenS2V Team,51.11%,47.33%,14.80%,38.50%,70.42%,71.99%
[Pika2.1(20250503)](https://pika.art/),Closed-Source,OpenS2V Team,52.56%,52.39%,28.94%,29.41%,75.03%,72.53%
[Kling1.6(20250503)](https://app.klingai.com/cn/),Closed-Source,OpenS2V Team,59.13%,50.94%,50.55%,41.02%,67.79%,78.28%
[VACE-P1.3B](https://github.com/ali-vilab/VACE),Open-Source,OpenS2V Team,46.28%,51.45%,8.78%,19.98%,73.27%,70.89%
[VACE-1.3B](https://github.com/ali-vilab/VACE),Open-Source,OpenS2V Team,49.02%,53.18%,16.87%,22.29%,73.61%,73.00%
[VACE-14B](https://github.com/ali-vilab/VACE),Open-Source,OpenS2V Team,58.57%,52.78%,11.76%,64.65%,69.53%,74.33%
[Phantom-1.3B](https://github.com/Phantom-video/Phantom),Open-Source,OpenS2V Team,53.64%,50.80%,14.14%,46.30%,72.17%,71.67%
[SkyReels-A2-P14B](https://github.com/SkyworkAI/SkyReels-A2),Open-Source,OpenS2V Team,54.27%,39.88%,31.98%,55.02%,63.63%,67.33%
[HunyuanCustom](https://github.com/Tencent-Hunyuan/HunyuanCustom),Open-Source,OpenS2V Team,55.85%,49.67%,15.13%,62.25%,69.78%,67.00%
[Hailuo(20250503)](https://hailuoai.video/),Closed-Source,OpenS2V Team,60.20%,52.75%,31.83%,57.79%,71.42%,74.52%
[ConsisID](https://github.com/PKU-YuanGroup/ConsisID),Open-Source,OpenS2V Team,52.97%,41.76%,38.12%,43.14%,72.03%,64.67%
[Concat-ID-CogVideoX](https://github.com/ML-GSAI/Concat-ID),Open-Source,OpenS2V Team,53.32%,44.13%,31.76%,43.83%,73.67%,66.44%
[FantasyID](https://github.com/Fantasy-AMAP/fantasy-id),Open-Source,OpenS2V Team,49.80%,45.60%,23.48%,32.42%,72.68%,68.11%
[EchoVideo](https://github.com/bytedance/EchoVideo),Open-Source,OpenS2V Team,54.52%,39.93%,35.16%,48.57%,68.40%,69.22%
[VideoMaker](https://github.com/WuTao-CS/VideoMaker),Open-Source,OpenS2V Team,52.31%,31.76%,50.09%,76.45%,45.28%,47.08%
[ID-Animator](https://github.com/ID-Animator/ID-Animator),Open-Source,OpenS2V Team,43.37%,42.03%,33.54%,31.56%,52.91%,54.03%
[Phantom-14B](https://github.com/Phantom-video/Phantom),Open-Source,OpenS2V Team,58.69%,49.14%,41.24%,55.02%,72.55%,68.33%
[Concat-ID-Wan-AdaLN](https://github.com/ML-GSAI/Concat-ID),Open-Source,OpenS2V Team,53.18%,43.13%,17.19%,50.05%,71.90%,69.44%
[MAGREF-480P](https://github.com/MAGREF-Video/MAGREF),Open-Source,OpenS2V Team,50.41%,51.20%,14.76%,32.87%,70.88%,72.22%
