Model,Venue,Evaluated by,TotalScore↑,Aesthetics↑,MotionSmoothness↑,MotionAmplitude↑,FaceSim↑,GmeScore↑,NaturalScore↑
[SkyReels-A2-P14B](https://github.com/SkyworkAI/SkyReels-A2),Closed-Source,OpenS2V Team,56.43%,39.89%,80.19%,31.49%,55.01%,63.63%,59.31%
[Vidu2.0(20250503)](https://www.vidu.cn/),Closed-Source,OpenS2V Team,57.7%,47.33%,91.31%,14.54%,38.5%,70.43%,67.78%
[EchoVideo](https://github.com/bytedance/EchoVideo),Closed-Source,OpenS2V Team,56.36%,39.93%,77.96%,35.58%,48.65%,68.4%,62.22%
[Hailuo(20250503)](https://hailuoai.video/),Closed-Source,OpenS2V Team,65.26%,52.75%,99.1%,31.8%,57.69%,71.42%,69.2%
[MAGREF-480P](https://github.com/MAGREF-Video/MAGREF),Closed-Source,OpenS2V Team,57.72%,51.2%,90.26%,14.76%,32.87%,70.88%,70.28%
[Concat-ID-CogVideoX](https://github.com/ML-GSAI/Concat-ID),Closed-Source,OpenS2V Team,55.89%,44.13%,81.9%,31.07%,43.87%,73.67%,58.75%
[HunyuanCustom](https://github.com/Tencent-Hunyuan/HunyuanCustom),Closed-Source,OpenS2V Team,61.22%,49.67%,84.73%,15.13%,62.25%,69.78%,60.56%
[Concat-ID-Wan-AdaLN](https://github.com/ML-GSAI/Concat-ID),Closed-Source,OpenS2V Team,59.85%,43.13%,85.86%,17.19%,50.05%,71.9%,68.47%
[FantasyID](https://github.com/Fantasy-AMAP/fantasy-id),Closed-Source,OpenS2V Team,54.33%,45.6%,85.44%,23.41%,32.48%,72.68%,62.36%
[ConsisID](https://github.com/PKU-YuanGroup/ConsisID),Closed-Source,OpenS2V Team,54.19%,41.77%,79.83%,37.99%,43.19%,72.03%,55.83%
[Kling1.6(20250503)](https://app.klingai.com/cn/),Closed-Source,OpenS2V Team,60.19%,50.94%,84.75%,50.02%,41.02%,67.79%,71.55%
[VideoMaker](https://github.com/WuTao-CS/VideoMaker),Closed-Source,OpenS2V Team,54.23%,31.76%,77.5%,50.09%,76.45%,45.28%,47.08%
[VACE-P1.3B](https://github.com/ali-vilab/VACE),Closed-Source,OpenS2V Team,53.97%,51.91%,95.8%,8.78%,19.98%,73.27%,65.83%
[VACE-1.3B](https://github.com/ali-vilab/VACE),Closed-Source,OpenS2V Team,54.9%,53.18%,95.84%,16.87%,22.29%,73.61%,65.28%
[Pika2.1(20250503)](https://pika.art/),Closed-Source,OpenS2V Team,56.84%,52.39%,85.29%,28.77%,29.42%,75.03%,67.53%
[ID-Animator](https://github.com/ID-Animator/ID-Animator),Closed-Source,OpenS2V Team,49.75%,42.03%,94.69%,33.54%,31.56%,52.91%,56.11%
[Phantom-1.3B](https://github.com/Phantom-video/Phantom),Closed-Source,OpenS2V Team,60.0%,50.8%,92.02%,14.09%,46.29%,72.17%,65.83%
[VACE-14B](https://github.com/ali-vilab/VACE),Closed-Source,OpenS2V Team,65.78%,52.78%,94.96%,11.76%,64.65%,69.53%,69.31%
[Phantom-14B](https://github.com/Phantom-video/Phantom),Closed-Source,OpenS2V Team,64.22%,49.14%,94.81%,41.24%,55.04%,72.55%,69.86%
