Model,Venue,Evaluated by,TotalScore↑,Aesthetics↑,MotionSmoothness↑,MotionAmplitude↑,FaceSim↑,GmeScore↑,NexusScore↑,NaturalScore↑
[MAGREF-480P](https://github.com/MAGREF-Video/MAGREF),Closed-Source,OpenS2V Team,52.51%,45.02%,93.17%,21.81%,30.83%,70.47%,43.04%,66.9%
[VACE-P1.3B](https://github.com/ali-vilab/VACE),Closed-Source,OpenS2V Team,48.98%,47.34%,96.8%,12.03%,16.59%,71.38%,40.19%,64.31%
[Phantom-14B](https://github.com/Phantom-video/Phantom),Closed-Source,OpenS2V Team,56.77%,46.39%,96.31%,33.42%,51.46%,70.65%,37.43%,69.35%
[SkyReels-A2-P14B](https://github.com/SkyworkAI/SkyReels-A2),Closed-Source,OpenS2V Team,52.25%,39.41%,87.93%,25.6%,45.95%,64.54%,43.75%,60.32%
[Pika2.1(20250503)](https://pika.art/),Closed-Source,OpenS2V Team,51.88%,46.88%,87.06%,24.71%,30.38%,69.19%,45.4%,63.32%
[Kling1.6(20250503)](https://app.klingai.com/cn/),Closed-Source,OpenS2V Team,56.23%,44.59%,86.93%,41.6%,40.1%,66.2%,45.89%,74.59%
[Vidu2.0(20250503)](https://www.vidu.cn/),Closed-Source,OpenS2V Team,51.95%,41.48%,90.45%,13.52%,35.11%,67.57%,43.37%,65.88%
[Phantom-1.3B](https://github.com/Phantom-video/Phantom),Closed-Source,OpenS2V Team,54.89%,46.67%,93.3%,14.29%,48.56%,69.43%,42.48%,62.5%
[VACE-1.3B](https://github.com/ali-vilab/VACE),Closed-Source,OpenS2V Team,49.89%,48.24%,97.2%,18.83%,20.57%,71.26%,37.91%,65.46%
[VACE-14B](https://github.com/ali-vilab/VACE),Closed-Source,OpenS2V Team,57.55%,47.21%,94.97%,15.02%,55.09%,67.27%,44.08%,67.04%
